"index","Name","leftX","topY","rightX","bottomY","pageNo","lineNumber","RightMargin","LeftMargin","TopMargin","BottomMargin","RightMarginRelative","LeftMarginRelative","TopMarginRelative","BottomMarginRelative","PositionOnLine","PageHeight","PageWidth","LineSize","HasDate","level","block_num","par_num","line_num","word_num","VerticalPositionRelative","HorizontalPositionRelative","linewhitespace","TextPatterns","fileName","filePath","fileRefNum","TOP_index","TOP_Name","TOP_leftX","TOP_topY","TOP_rightX","TOP_bottomY","TOP_RightMargin","TOP_LeftMargin","TOP_TopMargin","TOP_BottomMargin","TOP_RightMarginRelative","TOP_LeftMarginRelative","TOP_TopMarginRelative","TOP_BottomMarginRelative","TOP_PositionOnLine","TOP_PageHeight","TOP_PageWidth","TOP_LineSize","TOP_HasDate","TOP_VerticalPositionRelative","TOP_HorizontalPositionRelative","TOP_linewhitespace","BOTTOM_Name","BOTTOM_index","BOTTOM_leftX","BOTTOM_topY","BOTTOM_rightX","BOTTOM_bottomY","BOTTOM_RightMargin","BOTTOM_LeftMargin","BOTTOM_TopMargin","BOTTOM_BottomMargin","BOTTOM_RightMarginRelative","BOTTOM_LeftMarginRelative","BOTTOM_TopMarginRelative","BOTTOM_BottomMarginRelative","BOTTOM_PositionOnLine","BOTTOM_PageHeight","BOTTOM_PageWidth","BOTTOM_LineSize","BOTTOM_HasDate","BOTTOM_VerticalPositionRelative","BOTTOM_HorizontalPositionRelative","BOTTOM_linewhitespace","LEFT_Name","LEFT_index","LEFT_leftX","LEFT_topY","LEFT_rightX","LEFT_bottomY","LEFT_RightMargin","LEFT_LeftMargin","LEFT_TopMargin","LEFT_BottomMargin","LEFT_RightMarginRelative","LEFT_LeftMarginRelative","LEFT_TopMarginRelative","LEFT_BottomMarginRelative","LEFT_PositionOnLine","LEFT_PageHeight","LEFT_PageWidth","LEFT_LineSize","LEFT_HasDate","LEFT_VerticalPositionRelative","LEFT_HorizontalPositionRelative","LEFT_linewhitespace","RIGHT_Name","RIGHT_index","RIGHT_leftX","RIGHT_topY","RIGHT_rightX","RIGHT_bottomY","RIGHT_RightMargin","RIGHT_LeftMargin","RIGHT_TopMargin","RIGHT_BottomMargin","RIGHT_RightMarginRelative","RIGHT_LeftMarginRelative","RIGHT_TopMarginRelative","RIGHT_BottomMarginRelative","RIGHT_PositionOnLine","RIGHT_PageHeight","RIGHT_PageWidth","RIGHT_LineSize","RIGHT_HasDate","RIGHT_VerticalPositionRelative","RIGHT_HorizontalPositionRelative","RIGHT_linewhitespace"
1,"GST",919,382,970,410,1,0,"0.3911","0.3706","0.1089","0.1169","0.0069","",,"","0.0000","3508","2480",10,0,,,,,,,"","0.7127","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,"TAX",2,987,382,1038,410,"0.4185","0.3980","0.1089","0.1169","0.0069","0.0069",,"","0.1000","3508","2480",10,0,,"0.5000","0.7127"
2,"TAX",987,382,1038,410,1,0,"0.4185","0.3980","0.1089","0.1169","0.0069","0.0069",,"","0.1000","3508","2480",10,0,,,,,,,"0.5000","0.7127","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"GST",1,919,382,970,410,"0.3911","0.3706","0.1089","0.1169","0.0069","",,"","0.0000","3508","2480",10,0,,"","0.7127","INVOICE",3,1055,382,1174,410,"0.4734","0.4254","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.2000","3508","2480",10,0,,"0.5000","0.7127"
3,"INVOICE",1055,382,1174,410,1,0,"0.4734","0.4254","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.2000","3508","2480",10,0,,,,,,,"0.5000","0.7127","XXXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Details",14,1084,535,1181.6744186046512,573,"0.4765","0.4371","0.1525","0.1633","0.1463","0.3278",,"0.0020","0.2000","3508","2480",5,0,,"0.6914","0.7298","TAX",2,987,382,1038,410,"0.4185","0.3980","0.1089","0.1169","0.0069","0.0069",,"","0.1000","3508","2480",10,0,,"0.5000","0.7127","CUM",4,1191,382,1242,410,"0.5008","0.4802","0.1089","0.1169","0.0069","0.0069",,"0.0701","0.3000","3508","2480",10,0,,"0.5000","0.7127"
4,"CUM",1191,382,1242,410,1,0,"0.5008","0.4802","0.1089","0.1169","0.0069","0.0069",,"0.0701","0.3000","3508","2480",10,0,,,,,,,"0.5000","0.7127","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"VIKHROLI",38,1086,656,1226.923076923077,689,"0.4947","0.4379","0.1870","0.1964","0.0071","0.2306","0.0023","0.0020","0.3333","3508","2480",3,0,"0.5333","0.9701","0.7716","INVOICE",3,1055,382,1174,410,"0.4734","0.4254","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.2000","3508","2480",10,0,,"0.5000","0.7127","PACKING",5,1259,382,1378,410,"0.5556","0.5077","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.4000","3508","2480",10,0,,"0.5000","0.7127"
5,"PACKING",1259,382,1378,410,1,0,"0.5556","0.5077","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.4000","3508","2480",10,0,,,,,,,"0.5000","0.7127","XXXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,1237.4883720930234,535,1530.5116279069769,573,"0.6171","0.4990","0.1525","0.1633","0.0056","0.3897",,"0.0020","0.6000","3508","2480",5,0,,"0.9858","0.7298","CUM",4,1191,382,1242,410,"0.5008","0.4802","0.1089","0.1169","0.0069","0.0069",,"0.0701","0.3000","3508","2480",10,0,,"0.5000","0.7127","LIST",6,1395,382,1463,410,"0.5899","0.5625","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.5000","3508","2480",10,0,,"0.5000","0.7127"
6,"LIST",1395,382,1463,410,1,0,"0.5899","0.5625","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.5000","3508","2480",10,0,,,,,,,"0.5000","0.7127","XXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,1237.4883720930234,535,1530.5116279069769,573,"0.6171","0.4990","0.1525","0.1633","0.0056","0.3897",,"0.0020","0.6000","3508","2480",5,0,,"0.9858","0.7298","PACKING",5,1259,382,1378,410,"0.5556","0.5077","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.4000","3508","2480",10,0,,"0.5000","0.7127","FOR",7,1480,382,1531,410,"0.6173","0.5968","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.6000","3508","2480",10,0,,"0.5000","0.7127"
7,"FOR",1480,382,1531,410,1,0,"0.6173","0.5968","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.6000","3508","2480",10,0,,,,,,,"0.5000","0.7127","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,1237.4883720930234,535,1530.5116279069769,573,"0.6171","0.4990","0.1525","0.1633","0.0056","0.3897",,"0.0020","0.6000","3508","2480",5,0,,"0.9858","0.7298","LIST",6,1395,382,1463,410,"0.5899","0.5625","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.5000","3508","2480",10,0,,"0.5000","0.7127","EXPORT",8,1548,382,1650,410,"0.6653","0.6242","0.1089","0.1169","0.0589","0.0069",,"0.0356","0.7000","3508","2480",10,0,,"0.1043","0.7127"
8,"EXPORT",1548,382,1650,410,1,0,"0.6653","0.6242","0.1089","0.1169","0.0589","0.0069",,"0.0356","0.7000","3508","2480",10,0,,,,,,,"0.1043","0.7127","XXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Warehouse)",17,1544.4651162790697,535,1684,573,"0.6790","0.6228","0.1525","0.1633","","0.0056",,"","0.8000","3508","2480",5,0,,"","0.7298","FOR",7,1480,382,1531,410,"0.6173","0.5968","0.1089","0.1169","0.0069","0.0069",,"0.0356","0.6000","3508","2480",10,0,,"0.5000","0.7127","Page",9,1796,376,1873.6,422,"0.7555","0.7242","0.1072","0.1203","0.0240","0.0589",,"","0.8000","3508","2480",10,0,,"0.7108","0.7127"
9,"Page",1796,376,1873.6,422,1,0,"0.7555","0.7242","0.1072","0.1203","0.0240","0.0589",,"","0.8000","3508","2480",10,0,,,,,,,"0.7108","0.7127","Xxxx","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"EXPORT",8,1548,382,1650,410,"0.6653","0.6242","0.1089","0.1169","0.0589","0.0069",,"0.0356","0.7000","3508","2480",10,0,,"0.1043","0.7127","2",10,1933,382,1956,415,"0.7887","0.7794","0.1089","0.1183","","0.0240",,"","0.9000","3508","2480",10,0,,"","0.7127"
10,"2",1933,382,1956,415,1,0,"0.7887","0.7794","0.1089","0.1183","","0.0240",,"","0.9000","3508","2480",10,0,,,,,,,"","0.7127","0","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_2.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"Page",9,1796,376,1873.6,422,"0.7555","0.7242","0.1072","0.1203","0.0240","0.0589",,"","0.8000","3508","2480",10,0,,"0.7108","0.7127",,,,,,,,,,,"",,,,,,,,,,,
